,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Buscador keywords:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tabla,Nombre,Descripción,Keywords:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENTIDADES,FT_T_FIID,Financial Institution Identifier,"Recoge los identificadores principales de las contrapartidas: código LEI, CCLIEN, BDI, CODTES, FISCALID...",FINSID,LEI,BDI,CLIENTELA,CODTESID,TESORERIA,PASAP,FISCALID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
,,FT_T_FINS,Financial Institution,Representa a cada contrapartida. Recoge el Institution Name,NAME,INSTINAME,ENTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
,,FT_T_FIST,Financial Institution Statistic,"Recoge los campos Numero de Registro, Tipo de Institución y otras estadísticas",NUMREG,REGNUM,TIPINSTI,TYPINSTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
,,FT_T_FIRL,Fins Role Relationship,"Conecta los niveles de las contrapartidas: Global, Local y Operativo a través de los InstMnem -> InstMnem Global es padre del Local y éste del Operativo",INSTMNEM,PARENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
,,FT_T_FINR,Financial Institution Role,Recoge el Entity Role de la contrapartida y el Personality Sub-type,ROLE,CPARTY,LEGALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
,,FT_T_FRID,Fins Role Identifier,"Recoge los Counterparty Rol Identifiers: STAR, SWIFT...",STAR,SWIFT,CPARTYROL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
,,FT_T_FRCL,Fins Role Classification,"Recoge los campos CNAE, CNO, Código de Institución...",CNAE,CNO,CODINSTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
